,time,meanWaitTime,meanLow,action,dispersion,headwaySD
0,16215.0,264.6842105263158,60.59036144578313,[0.],20.384391863843916,507.98084621949374
0,16229.0,236.3,56.93975903614458,[0.],20.681868855781897,510.0311387825951
0,16240.0,247.3,59.59036144578313,[0.],20.74822045962985,515.0432522776777
0,16249.0,244.14285714285714,61.7710843373494,[0.],20.867385721623016,514.722615444838
0,16262.0,208.69565217391303,57.83132530120482,[0.],20.793816543816543,512.4824155909549
0,16277.0,213.0,56.45783132530121,[0.],20.657216230097593,508.0359600331011
0,16286.0,212.65217391304347,58.9277108433735,[0.],20.709956709956703,508.5493388168355
0,16292.0,227.04545454545453,60.18072289156626,[0.],20.709956709956703,509.64469934083536
0,16293.0,228.04545454545453,60.44578313253012,[0.],20.709956709956703,509.825756293496
0,16303.0,239.5,57.71084337349398,[0.],20.15534181404489,503.2173573878089
0,16311.0,247.5,59.63855421686747,[0.],20.305529522024365,509.97232838782
0,16325.0,228.75,55.12048192771084,[0.38638437],20.060397074190167,510.56854197539656
0,16326.0,229.75,55.36144578313253,[0.],20.060397074190167,510.52383671450747
0,16334.0,216.54545454545453,57.397590361445786,[0.],20.21243796853552,513.2091456077235
0,16351.0,223.95652173913044,62.06024096385542,[0.],20.443235168587275,503.071374399445
0,16362.0,225.4090909090909,59.74698795180723,[0.],19.944846387752957,503.93322101635175
0,16367.0,229.3181818181818,60.78313253012048,[0.],20.019017763845348,505.1908536009914
0,16388.0,214.47826086956522,59.433734939759034,[0.],19.889130209949325,432.47097008139093
0,16414.0,247.4090909090909,65.57831325301204,[0.],19.732133622918603,431.91690840775607
0,16416.0,249.4090909090909,66.10843373493977,[0.],19.732133622918603,431.9024040707478
0,16417.0,250.4090909090909,66.37349397590361,[0.],19.732133622918603,431.6538305004739
0,16426.0,263.57142857142856,66.6867469879518,[0.],19.274190177638452,429.57550654005274
0,16431.0,267.5,64.4578313253012,[0.],19.274190177638452,428.99526303470356
0,16438.0,269.4736842105263,61.68674698795181,[0.07693958],19.10356994603569,430.547240149679
0,16448.0,246.21052631578948,56.36144578313253,[0.],19.042713827696765,428.2409880499365
0,16452.0,244.38888888888889,53.0,[0.],19.022881880024734,428.60770046570025
0,16467.0,246.10526315789474,56.33734939759036,[0.],18.548775425487747,427.01447799356254
0,16475.0,234.3684210526316,53.65060240963855,[0.],18.639983452270148,424.5871466110829
0,16497.0,244.0,52.91566265060241,[0.],18.639983452270148,428.29918370844007
0,16505.0,238.89473684210526,54.68674698795181,[0.],18.589871315898705,430.81353152456205
0,16528.0,237.28571428571428,60.036144578313255,[0.],18.60793502030615,430.3957265421805
0,16535.0,233.45454545454547,61.87951807228916,[0.],18.687983281086733,434.3844230138572
0,16540.0,238.45454545454547,63.204819277108435,[0.],18.407559919755037,435.0934148123123
0,16543.0,231.0,64.01204819277109,[0.],18.32634032634034,433.8972902431643
0,16547.0,244.54545454545453,64.81927710843374,[0.],17.78819776714513,432.4815998453516
0,16548.0,245.54545454545453,65.08433734939759,[0.],17.78819776714513,432.02248021433314
0,16555.0,243.0,58.55421686746988,[0.],17.975504170626117,435.0175622149304
0,16556.0,244.0,58.795180722891565,[0.],17.975504170626117,435.3916699812021
0,16557.0,245.0,59.036144578313255,[0.],17.975504170626117,435.53599652710415
0,16613.0,238.0,63.08433734939759,[0.],18.554174841944622,418.34225748942157
0,16622.0,254.33333333333334,64.34939759036145,[0.],18.488106875203655,419.7619258870992
0,16626.0,258.3333333333333,65.36144578313252,[0.],18.488106875203655,420.3511777483163
0,16630.0,250.54545454545453,66.40963855421687,[0.],18.332121212121205,422.10978901828935
0,16637.0,244.23809523809524,61.795180722891565,[0.],18.274044795783926,424.5951265291278
0,16638.0,245.23809523809524,62.04819277108434,[0.],18.274044795783926,424.84580630642745
0,16640.0,247.23809523809524,62.55421686746988,[0.],18.274044795783926,425.01829222910044
0,16642.0,238.0,63.08433734939759,[0.],18.470862470862475,425.4623681332089
0,16650.0,251.85714285714286,63.72289156626506,[0.],17.53249971837333,443.36136035364405
0,16656.0,236.0,56.86746987951807,[0.],17.478163992869877,443.5271606530289
0,16657.0,237.0,57.10843373493976,[0.],17.478163992869877,443.86017111251954
0,16658.0,238.0,57.34939759036145,[0.],17.478163992869877,444.1064235077127
0,16669.0,215.05263157894737,49.2289156626506,[0.],17.200865800865806,438.0709524870689
0,16672.0,218.05263157894737,49.91566265060241,[0.],17.200865800865806,454.0235376952741
0,16674.0,220.05263157894737,50.373493975903614,[0.],17.305311176278924,408.1140322885352
0,16675.0,221.05263157894737,50.602409638554214,[0.],17.305311176278924,407.5895069871485
0,16733.0,190.66666666666666,48.24096385542169,[0.],17.417484194462617,403.63637051452116
0,16748.0,205.66666666666666,52.036144578313255,[0.],17.313641833497428,406.63657265746264
0,16770.0,227.66666666666666,57.602409638554214,[0.],16.983682983682996,539.9037809142628
0,16771.0,228.66666666666666,57.855421686746986,[0.],16.983682983682996,539.852978639722
0,16774.0,220.7,53.18072289156626,[0.],17.200619332006184,542.1329025233545
0,16799.0,234.42857142857142,59.31325301204819,[0.],16.951515151515142,543.5177847754783
0,16803.0,238.42857142857142,60.325301204819276,[0.],16.951515151515142,543.302507168054
0,16807.0,221.65217391304347,61.42168674698795,[0.],17.17999544315334,543.1843592032907
0,16816.0,239.95454545454547,63.602409638554214,[0.],17.478972231823956,542.4399177345597
0,16830.0,229.5,60.83132530120482,[0.],17.478972231823956,542.3972490240787
0,16850.0,249.5,66.13253012048193,[0.],17.29014280738419,522.1286875589365
0,16859.0,234.95652173913044,65.10843373493977,[0.],17.29014280738419,522.0210039981545
0,16871.0,246.95652173913044,68.43373493975903,[0.],17.19732205778718,524.9407107002595
0,16875.0,240.3913043478261,66.6144578313253,[0.],17.31313131313132,524.5544350872611
0,16878.0,236.95454545454547,62.80722891566265,[0.],17.565923384791322,523.712541598359
0,16911.0,234.875,67.91566265060241,[0.28504038],17.770529724728195,517.4652007222767
0,16939.0,220.69230769230768,69.13253012048193,[0.],17.32121212121211,525.873938994906
0,16942.0,223.69230769230768,70.07228915662651,[0.],17.32121212121211,525.6846167239336
0,16943.0,224.28,67.55421686746988,[0.],17.32121212121211,525.4279794763055
0,16953.0,225.46153846153845,70.62650602409639,[0.],17.391109538969474,509.72502761898676
0,16955.0,227.46153846153845,71.25301204819277,[0.],17.391109538969474,509.61612219116375
0,16957.0,229.46153846153845,71.87951807228916,[0.],17.391109538969474,510.5075006019244
0,16960.0,228.44,68.80722891566265,[0.30826783],17.375236742424228,511.3051125533125
0,16968.0,222.16,66.91566265060241,[0.],17.42959001782531,511.02601445618325
0,16972.0,217.53846153846155,68.144578313253,[0.],17.42959001782531,509.00488265459813
0,16982.0,213.875,61.8433734939759,[0.],17.04617604617605,493.3130731418955
0,16985.0,208.24,62.72289156626506,[0.],17.04617604617605,543.441758496079
0,16990.0,194.91304347826087,54.01204819277108,[0.51402617],16.748353096179187,556.0602362816884
0,17004.0,200.30434782608697,55.506024096385545,[0.],16.748353096179187,545.7907835602904
0,17016.0,219.86363636363637,58.27710843373494,[0.],16.69673109043188,541.112538706779
0,17033.0,202.29166666666666,58.493975903614455,[0.],17.096546863988724,536.9492779871906
0,17055.0,200.85185185185185,65.33734939759036,[0.205235],17.149864402782697,540.0355032385268
0,17081.0,219.5,74.04819277108433,[0.],17.688760111070874,546.8126143184028
0,17097.0,223.66666666666666,72.75903614457832,[0.],17.688760111070874,542.926256098729
0,17103.0,229.66666666666666,74.71084337349397,[0.],17.712242424242426,544.0826010984803
0,17106.0,232.66666666666666,75.6867469879518,[0.],17.712242424242426,544.184982108149
0,17107.0,233.66666666666666,76.01204819277109,[0.],17.712242424242426,543.8995316669652
0,17116.0,244.92307692307693,76.72289156626506,[0.],17.63928441036875,540.8102664545215
0,17123.0,251.92307692307693,78.91566265060241,[0.],17.73484848484849,541.0063789373268
0,17133.0,251.66666666666666,72.7710843373494,[0.],17.445276292335112,543.3440204208866
0,17135.0,243.6,73.37349397590361,[0.],17.445276292335112,543.6371311133064
0,17138.0,246.6,74.27710843373494,[0.],17.325428194993414,586.5763790343736
0,17146.0,240.7391304347826,66.71084337349397,[0.],17.33547237076648,583.7594684386092
0,17151.0,235.625,68.13253012048193,[0.],17.33547237076648,586.6870613745866
0,17152.0,228.30434782608697,63.265060240963855,[0.],17.547111742424228,587.682093463934
0,17193.0,252.45833333333334,73.0,[0.09183979],17.42901455499881,608.6486888667238
0,17195.0,254.45833333333334,73.57831325301204,[0.],17.42901455499881,608.6439708615754
