,means
0,309.0275204359673
1,304.9903269754768
2,307.299069258144
3,308.32734010430966
4,307.616621253406
5,308.7277929155313
6,307.45272479564034
7,306.36798365122615
8,305.8273841961853
9,306.26675749318804
10,307.1903521079075
