,time,meanWaitTime
0,601.0,319.0
0,656.0,325.6111111111111
0,808.0,401.9
0,886.0,476.65
0,913.0,478.0
0,975.0,525.1
0,1167.0,685.3809523809524
0,1170.0,688.3809523809524
0,1189.0,667.65
0,1201.0,713.9473684210526
0,1332.0,821.4736842105264
0,1343.0,850.7222222222222
0,1420.0,718.3181818181819
0,1446.0,740.8636363636364
0,1567.0,735.9583333333334
0,1653.0,790.04
0,1690.0,794.5833333333334
0,1772.0,898.4347826086956
0,1801.0,949.5
0,1832.0,884.5833333333334
0,1856.0,907.3478260869565
0,1860.0,911.3478260869565
0,1908.0,832.3076923076923
0,1933.0,857.3076923076923
0,1968.0,903.68
0,1981.0,909.8
0,2033.0,891.2962962962963
0,2111.0,935.6428571428571
0,2113.0,937.6428571428571
0,2119.0,975.2222222222222
0,2160.0,940.8518518518518
0,2169.0,949.8518518518518
0,2173.0,978.8076923076923
0,2183.0,1014.0
0,2274.0,946.8965517241379
0,2306.0,968.3793103448276
0,2336.0,965.7
0,2347.0,932.448275862069
0,2401.0,897.3
0,2419.0,873.5806451612904
0,2452.0,916.0666666666667
0,2457.0,949.6206896551724
0,2462.0,968.8928571428571
0,2479.0,985.8928571428571
0,2517.0,1016.2857142857143
0,2533.0,1024.75
0,2539.0,1052.0740740740741
0,2557.0,1013.7407407407408
0,2605.0,1061.7407407407406
0,2612.0,1068.7407407407406
0,2634.0,1076.962962962963
0,2674.0,1149.4615384615386
0,2689.0,1203.2
0,2698.0,1239.7083333333333
0,2708.0,1252.6521739130435
0,2718.0,1262.6521739130435
0,2726.0,1320.1363636363637
0,2785.0,1211.0833333333333
0,2786.0,1212.0833333333333
0,2808.0,1270.5652173913043
0,2810.0,1272.5652173913043
0,2822.0,1205.25
0,2835.0,1245.304347826087
0,2840.0,1213.090909090909
0,2909.0,1206.608695652174
0,2961.0,1209.7272727272727
0,2975.0,1221.7272727272727
0,3000.0,1177.6666666666667
0,3001.0,1178.6666666666667
0,3028.0,1138.909090909091
0,3042.0,1206.8095238095239
0,3062.0,1276.0
0,3063.0,1277.0
0,3068.0,1331.6842105263158
0,3101.0,1346.7368421052631
0,3104.0,1282.35
0,3109.0,1324.578947368421
0,3189.0,1252.3684210526317
0,3197.0,1260.3684210526317
0,3220.0,1272.421052631579
0,3232.0,1321.7222222222222
0,3267.0,1224.0
0,3269.0,1226.0
0,3286.0,1304.578947368421
0,3289.0,1307.578947368421
0,3294.0,1322.7058823529412
0,3298.0,1311.1764705882354
0,3339.0,1266.2222222222222
0,3359.0,1286.2222222222222
0,3394.0,1317.2222222222222
0,3399.0,1296.0555555555557
0,3474.0,1118.7272727272727
0,3488.0,1132.7272727272727
0,3552.0,1028.32
0,3555.0,1031.32
0,3575.0,1113.391304347826
0,3577.0,1115.391304347826
0,3601.0,961.5
0,3619.0,976.2727272727273
0,3634.0,1012.9047619047619
0,3658.0,989.8181818181819
0,3660.0,991.8181818181819
0,3678.0,983.9545454545455
0,3681.0,986.9545454545455
0,3684.0,1027.904761904762
0,3732.0,1017.0909090909091
0,3754.0,994.0869565217391
0,3764.0,924.24
0,3771.0,890.4166666666666
0,3807.0,825.4444444444445
0,3815.0,819.925925925926
0,3838.0,856.1153846153846
0,3843.0,861.1153846153846
0,3852.0,838.1481481481482
0,3853.0,839.1481481481482
0,3859.0,873.7307692307693
0,3880.0,916.16
0,3881.0,917.16
0,3884.0,937.9583333333334
0,3912.0,957.7916666666666
0,3915.0,960.7916666666666
0,3918.0,994.9565217391304
0,3921.0,997.9565217391304
0,3941.0,940.0
0,3943.0,942.0
0,3952.0,1014.75
0,3963.0,1075.8947368421052
0,3987.0,1085.8947368421052
0,3992.0,1090.8947368421052
0,4006.0,1142.6666666666667
0,4018.0,1064.4736842105262
0,4032.0,1024.85
0,4041.0,984.8095238095239
0,4065.0,942.8636363636364
0,4121.0,918.5833333333334
0,4137.0,934.5833333333334
0,4165.0,942.4166666666666
0,4175.0,914.52
0,4204.0,965.5833333333334
0,4208.0,998.3913043478261
0,4219.0,1051.7272727272727
0,4221.0,1053.7272727272727
0,4233.0,1044.6818181818182
0,4252.0,969.0416666666666
0,4256.0,992.2608695652174
0,4259.0,995.2608695652174
0,4265.0,1024.4545454545455
0,4284.0,1070.7619047619048
0,4297.0,1081.7142857142858
0,4320.0,1010.2173913043479
0,4382.0,1055.5217391304348
0,4392.0,1050.9130434782608
0,4414.0,1072.4347826086957
0,4421.0,950.9545454545455
0,4452.0,1008.4285714285714
0,4457.0,1041.85
0,4478.0,1106.3157894736842
0,4483.0,1111.3157894736842
0,4512.0,1126.0526315789473
0,4524.0,1181.611111111111
0,4532.0,1189.5555555555557
0,4555.0,1182.5
0,4560.0,1136.8333333333333
0,4577.0,1019.0
0,4584.0,997.2352941176471
0,4593.0,1036.0
0,4603.0,1078.0
0,4611.0,1086.0
0,4614.0,1089.0
0,4619.0,1094.0
0,4657.0,1042.1875
0,4660.0,1045.1875
0,4690.0,957.2222222222222
0,4693.0,960.2222222222222
0,4702.0,881.8235294117648
0,4704.0,883.8235294117648
0,4728.0,907.8235294117648
0,4730.0,909.8235294117648
0,4747.0,929.25
0,4760.0,887.1764705882352
0,4774.0,901.1764705882352
0,4791.0,890.1176470588235
0,4801.0,797.0625
0,4803.0,818.0
0,4808.0,771.8125
0,4821.0,738.7647058823529
0,4848.0,802.125
0,4849.0,803.125
0,4856.0,810.125
0,4857.0,811.125
0,4864.0,847.9333333333333
0,4868.0,851.9333333333333
0,4870.0,905.0714285714286
0,4879.0,853.2666666666667
0,4916.0,803.3125
0,4958.0,754.3333333333334
0,4983.0,763.6666666666666
