Boarding Stop,Alighting Stop,Hour,Total
410482491,410471030,13,1
410482491,410464255,13,1
410482568,410471005,13,1
410482568,410464255,13,1
410482568,410467571,13,1
410482568,410481783,13,2
410482572,410464255,13,1
410482520,410482562,13,1
410482520,410482491,13,1
410482520,410464255,13,4
410483103,410482568,13,1
410486516,1531005322,13,1
410486516,410464255,13,1
1855320978,410483103,13,1
1855320978,1531005322,13,3
1855320978,410475114,13,1
410486969,410483103,13,1
410486969,1531005322,13,5
410486969,410475114,13,1
410486969,410464255,13,2
4430976208,410486293,13,1
4430976208,1531005322,13,10
4430976208,410475114,13,1
4430976208,410464255,13,3
410486293,1531005322,13,5
410486293,-410478274,13,1
410486955,4430976208,13,1
410486955,1531005322,13,12
410486955,410475114,13,2
410486955,410464255,13,1
410486955,4623289717,13,1
410486955,410459494,13,2
410486991,1531005322,13,16
410486991,410475114,13,1
410486991,410464255,13,2
410486991,4623289717,13,1
410462293,410482572,13,3
410462293,4430976208,13,1
410462293,1531005322,13,2
410462293,410475114,13,1
410462293,410464255,13,1
410462293,410478275,13,5
410462266,1531005322,13,2
410462266,410475114,13,1
410462266,410471005,13,1
410462266,410467566,13,1
1847853709,410462293,13,3
1847853709,410462211,13,3
1847853709,1849631273,13,1
1847853709,410464255,13,2
1849631331,410462293,13,4
1849631331,410462211,13,1
1849631331,410474760,13,1
1849631331,410474348,13,3
1849631331,2429952037,13,4
1849631331,410478275,13,1
1531005322,410482562,13,3
1531005322,410482568,13,5
1531005322,410482520,13,1
1531005322,410483103,13,2
1531005322,410470959,13,1
1531005322,410478275,13,1
1531005322,4623289717,13,3
1531005322,410467566,13,2
1531005322,410459494,13,1
1531005322,410467567,13,1
1531005322,410467571,13,1
1531005322,410481810,13,1
1531005322,410481781,13,1
410475114,4623289717,13,2
410475114,410459494,13,1
410462291,410482520,13,3
410462291,1855320978,13,1
410462291,410486955,13,1
410462291,410486991,13,1
410462291,1531005322,13,19
410462291,410475114,13,1
410462291,410470959,13,3
410462291,410464255,13,2
410462291,410478275,13,2
410462291,4623289717,13,3
410462291,410467564,13,1
410462211,410482520,13,1
410462211,1531005322,13,4
410462211,410475114,13,1
410462211,410464255,13,1
410462211,410467567,13,1
410474760,410464255,13,1
410474348,410486955,13,1
410474348,1531005322,13,2
410474348,410462291,13,5
410474348,410462211,13,1
410474348,410471081,13,3
2429952037,410486293,13,1
2429952037,410486991,13,4
2429952037,410462266,13,7
2429952037,410475114,13,1
2429952037,1849631273,13,2
2429952037,410471005,13,2
2429952037,4623289717,13,1
1849631269,410486991,13,1
1849631269,2429952037,13,1
1849631269,4623289717,13,1
1849631269,410478271,13,1
1849631273,4430976208,13,1
1849631273,410486955,13,2
1849631273,410462266,13,2
1849631273,4623289717,13,1
410471030,410464255,13,3
410471030,410478271,13,1
410471030,410459494,13,1
410471081,-410478273,13,1
410471081,410478275,13,1
410471081,4623289717,13,1
410471081,410459494,13,2
410482570,410464255,13,2
410482570,410459494,13,2
410482570,410481781,13,1
410471005,410467553,13,1
410464255,-410478274,13,2
410464255,4623289717,13,4
410464255,410467564,13,10
410464255,410459494,13,2
-1849457018,4623289717,13,1
-1849457018,410467562,13,1
-410478273,4623289717,13,4
-410478274,4623289717,13,1
-410478274,410478271,13,1
-410478274,410459494,13,2
410478275,4623289717,13,5
410478275,410467553,13,2
410478275,410467566,13,1
410478275,410459494,13,1
4623289717,410467564,13,1
4623289717,410467574,13,3
4623289717,410467562,13,1
4623289717,410467567,13,1
4623289717,410461658,13,2
4623289717,410481810,13,1
4623289717,410481815,13,2
4623289717,410482047,13,1
410467553,410467567,13,1
410478271,410482047,13,1
410467574,410467567,13,1
