,time,meanWaitTime,action,dispersion,headwaySD
0,3.0,0.0,[1.],0,0
1,17.0,12.066666666666666,[0.0747429],0,239.13938885029242
2,18.0,13.066666666666666,[0.79847485],0,242.43868932037984
3,36.0,15.766666666666667,[0.],1.1693766937669379,248.13841872366743
4,46.0,21.3,[1.],0.5977011494252875,210.64233846432467
5,53.0,26.066666666666666,[0.96030354],0.035519125683060114,195.62273839466556
6,63.0,30.6,[0.],0.3974799541809848,229.60869624428432
7,64.0,31.366666666666667,[1.],0.3974799541809848,225.8522311483209
8,67.0,33.13333333333333,[0.],0.557347670250896,208.3827258095339
9,69.0,34.266666666666666,[0.41968557],1.1835443037974682,200.31811543042343
10,70.0,28.0,[0.327829],1.4722222222222219,198.61504918732138
11,73.0,26.533333333333335,[0.],1.1902616902616903,200.19680398694564
12,75.0,27.6,[0.51028824],1.2211972119721195,200.9561092125046
13,81.0,23.766666666666666,[0.],1.1326164874551974,192.5153660185368
14,82.0,21.033333333333335,[0.57101756],1.1730769230769231,191.20579864604173
15,90.0,21.433333333333334,[1.],0.8636061210911512,161.06676429601538
16,91.0,21.633333333333333,[1.],0.8636061210911512,162.1012396098426
17,94.0,22.266666666666666,[0.9422609],0.8035714285714287,152.20674597118165
18,105.0,26.733333333333334,[0.49843925],0.743478260869565,116.46585960491286
19,106.0,27.333333333333332,[0.],0.743478260869565,118.88012290637832
20,109.0,29.066666666666666,[0.],0.6386487351905219,130.30779806220335
21,111.0,30.2,[0.92624867],0.6770136899076727,143.5814258564733
22,112.0,24.033333333333335,[0.],0.7250712250712251,150.27967599345143
23,113.0,24.6,[0.],0.6954022988505747,155.67523565382217
24,114.0,25.166666666666668,[0.],0.6971014492753622,159.5960994996935
25,119.0,17.766666666666666,[1.],0.7782608695652172,156.81662570797556
26,120.0,18.233333333333334,[0.87820625],0.7257855523161646,153.1723431081713
27,123.0,17.233333333333334,[0.],0.7024619371558147,141.2560502189785
28,130.0,19.666666666666668,[0.94685143],0.7351575456053069,157.2694917913822
29,132.0,20.7,[0.17103565],0.7351575456053069,163.41755888097606
30,136.0,17.633333333333333,[0.3887142],1.470501474926253,161.38690455676453
31,137.0,18.1,[0.01768346],1.31689677843524,158.51611921470828
32,138.0,18.566666666666666,[0.],1.1785714285714288,153.85539148061827
33,140.0,16.733333333333334,[0.],1.0703256126216854,145.7541047890327
34,142.0,17.533333333333335,[1.],1.103612815269257,226.41236646103357
35,143.0,17.966666666666665,[0.],1.1475213675213671,222.22163239136898
36,151.0,19.866666666666667,[0.96655965],1.16984126984127,218.49016241112312
37,152.0,20.3,[0.],1.16984126984127,216.73626654050386
38,154.0,21.166666666666668,[0.35232764],1.1602564102564104,213.5039627054707
39,155.0,21.633333333333333,[0.],1.1842293906810037,210.77166196768246
40,159.0,17.566666666666666,[1.],1.3095238095238095,187.87737217914608
41,162.0,18.766666666666666,[0.41728503],1.1858974358974361,192.08276186625315
42,168.0,17.5,[0.24087697],1.5063492063492063,224.54270229075703
43,170.0,18.5,[1.],1.4472753007784855,229.8261376065462
44,171.0,16.333333333333332,[0.6930107],1.4519803715387314,231.25563414351524
45,172.0,15.0,[0.],1.4846743295019156,233.81259510163372
46,176.0,14.833333333333334,[1.],1.4874551971326166,235.25689536187303
47,179.0,16.133333333333333,[1.],1.6708288092652908,225.1546741121178
48,182.0,17.633333333333333,[0.],1.6948998178506374,196.7065517159701
49,185.0,19.266666666666666,[0.7626611],1.6948998178506374,180.66802115209936
50,186.0,19.866666666666667,[0.3086667],1.6948998178506374,180.90123413134742
51,188.0,19.166666666666668,[0.6678057],1.6862745098039216,190.2791979944808
52,190.0,19.233333333333334,[1.],1.5202354672553349,196.93939577299426
53,198.0,20.866666666666667,[1.],1.6531029357116311,181.15617078196865
54,199.0,21.433333333333334,[0.],1.6531029357116311,180.08392645944969
55,200.0,22.033333333333335,[0.],1.6531029357116311,179.51542518897313
56,201.0,22.633333333333333,[0.],1.6298798798798801,177.31811003994747
