Boarding Stop,Alighting Stop,Hour,Total
54329,66359,14,2
54329,66359,16,7
54329,66359,18,3
54329,66359,19,2
54329,66379,5,1
54329,66379,8,1
54329,66379,9,2
54329,66379,10,1
54329,66379,13,6
54329,66379,15,1
54329,66379,16,1
54329,70279,6,1
54329,70279,9,2
54329,70289,13,1
54329,70299,7,1
54329,70299,8,2
54329,71131,7,1
54329,71161,12,2
54329,72061,12,2
54329,72061,13,2
54329,72071,6,1
54329,72071,7,1
54329,75009,6,1
54329,75009,7,1
54329,75009,8,1
54329,75009,9,2
54329,75009,10,2
54329,75009,15,1
54329,75009,16,1
54329,75009,18,1
54329,75009,20,1
54329,75341,7,1
54329,76119,13,1
54329,76289,6,3
54329,76289,12,1
54329,76289,16,3
54329,84471,15,1
54329,84499,8,1
54329,84499,17,1
54339,,7,1
54339,,8,1
54339,54101,6,1
54339,54101,7,1
54339,54319,6,2
54339,54319,7,1
54339,54319,9,1
54339,54319,11,1
54339,54319,15,1
54339,54329,18,1
54339,62019,7,1
54339,62039,7,1
54339,62039,8,1
54339,62049,10,4
54339,62059,8,4
54339,62059,13,1
54339,62059,17,1
54339,62141,8,1
54339,62141,16,1
54339,62141,20,1
54339,66031,7,1
54339,66031,15,1
54339,66041,8,1
54339,66051,12,1
54339,66051,14,1
54339,66051,16,2
54339,66091,11,2
54339,66091,14,1
54339,66359,6,1
54339,66359,9,1
54339,66359,10,1
54339,66359,11,3
54339,66359,13,2
54339,66359,16,1
54339,66359,18,3
54339,66359,20,2
54339,66379,7,1
54339,66379,9,1
54339,66379,18,1
54339,66379,20,1
54339,70279,8,1
54339,70279,9,1
54339,70299,7,1
54339,70309,15,1
54339,71091,19,1
54339,71131,5,1
54339,71131,9,1
54339,71141,10,1
54339,71161,14,1
54339,72061,9,1
54339,72071,12,1
54339,75009,8,1
54339,75009,12,1
54339,75009,15,2
54339,75009,16,1
54339,76119,20,1
54339,76129,18,1
54339,76129,19,1
54339,76289,6,2
54339,76289,16,1
54339,84471,15,1
54339,84471,19,2
62019,,16,1
62019,71091,17,1
62019,72061,13,1
62019,72071,7,1
62019,72071,19,2
62019,75009,11,2
62019,75009,12,1
62019,75009,16,1
62019,76129,11,1
62019,84489,11,1
62019,84499,13,1
62029,,8,1
62029,70299,13,1
62029,70299,18,1
62029,71131,18,1
62029,72071,16,2
62029,75009,12,2
62029,84489,13,1
62029,84499,13,1
62029,84631,16,1
62039,,10,1
62039,,12,1
62039,,13,1
62039,,16,1
62039,,17,1
62039,70289,7,1
62039,70289,8,1
62039,70299,9,1
62039,71091,11,1
62039,71091,16,1
62039,72021,11,1
62039,72061,6,1
62039,72061,12,1
62039,72071,15,1
62039,75009,7,1
62039,75009,8,2
62039,75009,11,3
62039,75009,12,2
62039,75009,14,1
62039,75009,16,1
62039,75009,19,1
62039,76119,14,1
62039,76129,19,1
62039,76289,7,1
62039,76289,8,1
62039,76289,10,1
62039,84471,16,1
