,means
0,166.91422065287503
1,170.88966854903924
2,169.85924417228313
3,164.6229700247561
4,161.25931949384312
5,167.27644849250848
6,160.67537021146796
7,168.66093293335814
8,176.25087185187533
9,161.25452775142142
10,166.7663574133428
