,means
0,211.13848448289207
1,213.68297970894824
2,212.07884832026818
3,213.45867906748532
4,214.95664339633123
5,211.49379300241398
6,214.45157937946965
7,212.60543691388784
8,212.25918195647012
9,213.4094430717237
10,212.953506929989
