,means
0,324.1575435394911
1,319.7156305896619
2,321.7865896099886
3,326.67583728946676
4,319.1814136794203
5,331.59466294618255
6,322.96031670342984
7,320.5784979023404
8,320.53589712815193
9,315.62358007871603
10,322.280996946685
