,means
0,337.5670888287266
1,333.0831416944132
2,335.25699433768125
3,333.1505864318558
4,338.37813805075996
5,335.22646103198775
6,336.2731383342434
7,334.8402834584265
8,335.7819292604298
9,334.1684224096667
10,335.37261838381914
