,means
0,305.01866485013625
1,317.0493188010899
2,308.61512261580384
3,313.97465940054497
4,313.4050408719346
5,311.4423705722071
6,317.45871934604907
7,317.27602179836515
8,310.9216621253406
9,311.74686648501364
10,312.69084468664846
