,means
0,322.04087139397234
1,324.1025335193118
2,325.8738156870365
3,322.43704004823667
4,320.30004216945656
5,330.7040895722511
6,321.829434884216
7,325.2426491068706
8,313.522601855454
9,320.7525955841028
10,322.6805673820908
