,time,meanWaitTime,action,dispersion,headwaySD
0,16.0,11.066666666666666,Skip,0,0
1,17.0,12.066666666666666,No action,0,2497.70922730504
2,18.0,13.066666666666666,No action,0,2492.3685056638237
3,20.0,15.066666666666666,Hold,0,2487.3989207081495
4,21.0,16.066666666666666,Skip,0,2487.2461499442798
5,24.0,18.833333333333332,No action,5.499999999999998,2488.0124704890127
6,35.0,27.066666666666666,Skip,8.632616487455197,2454.5653489291108
7,38.0,29.766666666666666,No action,8.632616487455197,2434.9249774619193
8,39.0,30.666666666666668,No action,8.632616487455197,2428.767053284501
9,41.0,32.46666666666667,Hold,8.632616487455197,2414.382569379224
10,42.0,33.36666666666667,No action,8.632616487455197,2405.883266083869
11,43.0,34.266666666666666,No action,8.632616487455197,2398.2413318844738
12,45.0,36.06666666666667,Skip,8.632616487455197,2386.6997161091826
13,47.0,37.733333333333334,Hold,7.611111111111111,2376.700213181191
14,50.0,39.03333333333333,No action,7.990514905149054,2355.6742518747574
15,58.0,44.2,No action,7.30083857442348,2292.672371316258
16,60.0,45.86666666666667,No action,7.30083857442348,2277.756302487626
17,61.0,46.7,No action,7.30083857442348,2271.333919286905
18,64.0,49.2,Skip,7.0740740740740735,2256.9262425381603
19,66.0,50.86666666666667,No action,7.0740740740740735,2247.409543753084
20,67.0,51.7,No action,7.0740740740740735,2240.092425689855
21,71.0,55.03333333333333,No action,6.8034188034188015,2217.340775216799
22,72.0,55.86666666666667,Skip,6.8034188034188015,2215.6991873308025
23,74.0,57.53333333333333,No action,6.8034188034188015,2212.30120822412
24,75.0,58.36666666666667,Hold,6.8034188034188015,2210.519105064726
25,77.0,60.03333333333333,Hold,6.8034188034188015,2206.9139112055586
26,79.0,61.7,No action,6.8034188034188015,2206.642649391324
27,83.0,64.9,Hold,7.8684210526315805,2220.89135516292
28,84.0,65.7,No action,8.467984934086628,2223.835482816513
29,86.0,65.8,Hold,9.912698412698413,2226.020468490809
30,92.0,69.43333333333334,No action,9.366666666666665,2220.884439655238
31,95.0,68.93333333333334,Hold,9.680555555555559,2207.298477310618
32,96.0,69.7,Hold,9.956639566395665,2203.1210990656427
33,98.0,71.16666666666667,No action,10.733850129198961,2191.916264210589
34,103.0,71.9,No action,11.242483660130722,2153.7355510338757
35,106.0,74.1,No action,11.242483660130722,2134.7197956881187
36,109.0,76.23333333333333,No action,11.315656565656566,2123.333028055773
37,112.0,78.33333333333333,Hold,11.990543735224586,2112.4908191467666
38,117.0,78.43333333333334,No action,12.55956471935853,2094.545709489801
39,123.0,82.4,No action,15.205450733752615,2126.815568958851
40,126.0,80.66666666666667,Hold,15.205450733752615,2148.8401503637538
41,131.0,84.16666666666667,No action,14.044444444444443,2160.1800409691346
42,132.0,84.9,Hold,14.044444444444443,2160.840169904369
43,134.0,86.36666666666666,No action,14.044444444444443,2161.4914669225363
44,138.0,89.23333333333333,Skip,15.004444444444445,2165.690665385694
45,141.0,91.3,Hold,16.56394129979035,2162.999809410838
46,143.0,88.36666666666666,Hold,17.185185185185187,2159.7202907261076
47,151.0,93.13333333333334,Hold,15.784527518172373,2098.1256146567703
48,154.0,95.13333333333334,Hold,16.029914529914528,2068.3586789630726
49,158.0,97.8,Skip,16.151564185544768,2045.3203193984668
50,161.0,99.86666666666666,Hold,16.029914529914528,2027.372818520889
51,162.0,100.56666666666666,No action,16.029914529914528,2020.7379755577624
52,163.0,101.26666666666667,Skip,16.029914529914528,2016.2166139329172
53,165.0,102.36666666666666,Skip,16.314814814814813,2016.0253289034642
54,166.0,103.0,Hold,16.74343434343435,2019.3076095483698
55,167.0,103.63333333333334,Hold,17.224206349206344,2023.5072912391008
56,173.0,102.0,Skip,16.41756272401434,2033.7815011693187
57,175.0,97.8,Hold,16.253968253968253,2038.5926898922053
58,176.0,98.4,Skip,16.253968253968253,2036.9803182380272
59,178.0,99.63333333333334,Skip,16.514336917562723,2029.7702000142779
60,185.0,104.23333333333333,No action,16.375555555555557,1999.0902243098258
61,186.0,104.93333333333334,Skip,16.375555555555557,1996.7030197213005
62,188.0,106.26666666666667,No action,17.045138888888886,1998.344587562214
63,189.0,106.93333333333334,Hold,17.547008547008545,2000.188347990443
64,194.0,106.03333333333333,Hold,20.88928856914469,2002.5478594747055
65,196.0,105.9,No action,22.384226884226884,1999.3532907115878
66,199.0,107.8,No action,20.88928856914469,1992.0005980395208
67,202.0,109.9,Hold,20.88928856914469,1980.777154417487
68,205.0,112.0,Skip,20.88928856914469,1964.2811997086676
69,210.0,115.5,No action,21.30129764801298,1929.8524424476745
70,212.0,116.9,No action,21.30129764801298,1917.842977299584
71,216.0,119.5,Skip,23.6989121989122,1920.5665458424696
72,217.0,118.76666666666667,Hold,24.227203065134102,1921.7664308385843
73,224.0,117.96666666666667,No action,25.0885885885886,1910.6892202969661
74,227.0,119.96666666666667,Skip,25.0885885885886,1904.8650411176848
75,229.0,121.3,No action,25.382039573820407,1901.7886431411562
76,231.0,122.63333333333334,Hold,25.10544217687075,1902.7814547895691
77,236.0,116.36666666666666,Hold,24.963276836158187,1923.4642910925254
78,237.0,107.43333333333334,Skip,25.28449328449329,1925.4934538204088
79,249.0,110.8,Hold,23.977777777777778,1951.0699114365118
80,251.0,112.06666666666666,Hold,23.977777777777778,1942.5795112834048
81,257.0,115.56666666666666,No action,23.179951690821255,1916.8758621050788
82,258.0,116.16666666666667,Hold,23.179951690821255,1916.0871837942245
83,259.0,116.76666666666667,Skip,23.179951690821255,1917.6365886948713
84,269.0,112.53333333333333,Hold,30.6036036036036,1981.580018617557
85,270.0,112.76666666666667,No action,31.62143559488692,1987.0824765151433
86,272.0,108.63333333333334,No action,33.093869731800766,1992.609674612973
87,274.0,107.83333333333333,No action,32.90350877192983,1992.1445107725149
88,276.0,109.0,No action,32.04662698412698,1995.2827618839974
89,281.0,109.03333333333333,Skip,34.82955082742317,1998.1611242822175
90,282.0,107.7,Hold,35.411392405063296,1996.0949041120234
91,285.0,105.26666666666667,Skip,35.76666666666666,1985.5826981081013
92,291.0,108.86666666666666,Skip,32.776585598474014,1968.9035541893577
93,292.0,109.46666666666667,No action,32.776585598474014,1967.9705725376214
94,297.0,111.86666666666666,Skip,33.44808345463367,1956.3345108440749
95,302.0,114.7,No action,33.265700483091784,1927.2445485762598
96,303.0,115.26666666666667,No action,33.265700483091784,1923.1754273560175
97,305.0,115.53333333333333,Hold,32.570577014783034,1916.0094902056462
98,307.0,115.33333333333333,No action,32.35897435897436,1907.619565032507
99,312.0,117.23333333333333,Hold,33.05555555555556,1900.3511751614806
100,313.0,117.83333333333333,Hold,33.707256235827664,1903.0290457786332
101,315.0,116.46666666666667,No action,34.404761904761905,1912.327700731125
102,319.0,110.86666666666666,Skip,38.61702577101815,1943.3896508915884
103,322.0,110.33333333333333,Hold,37.93445692883895,1963.9645515505533
104,324.0,109.96666666666667,No action,37.54494382022471,1972.5505961328693
105,328.0,107.86666666666666,Hold,37.115942028985515,1974.6731932878693
106,329.0,105.8,Skip,37.40158730158729,1968.4218332497421
107,332.0,95.6,Hold,37.799687010954614,1939.410409686396
108,335.0,97.2,No action,35.38888888888888,1892.748094703622
109,340.0,99.86666666666666,No action,35.36753657572162,1866.364156636849
110,346.0,103.1,No action,35.36753657572162,1845.4915118922386
111,347.0,103.66666666666667,Skip,35.36753657572162,1841.8530568912377
112,352.0,106.7,No action,35.53730158730158,1824.956177074106
113,358.0,110.83333333333333,No action,35.53730158730158,1829.2638513624606
114,361.0,113.3,No action,35.53730158730158,1827.4744807985107
115,363.0,115.0,No action,35.53730158730158,1828.8625409459823
116,365.0,116.63333333333334,Hold,36.90701754385965,1832.4341109609309
117,370.0,108.6,Hold,40.142857142857146,1840.7634492994082
118,372.0,109.86666666666666,Hold,40.142857142857146,1847.6176811734094
119,374.0,110.96666666666667,No action,37.96704331450095,1860.1937085131112
120,375.0,111.76666666666667,No action,36.91366366366368,1859.269790788498
121,376.0,112.03333333333333,Hold,35.45912300260127,1855.6465216596578
122,383.0,110.26666666666667,No action,35.474358974358985,1834.8175801202099
123,386.0,109.03333333333333,No action,34.84229390681005,1822.1813992681668
124,387.0,108.2,No action,35.474358974358985,1819.406350580095
125,389.0,106.9,Hold,35.474358974358985,1813.5046454774695
126,390.0,106.53333333333333,Hold,35.21356421356422,1811.268954434282
127,391.0,106.9,Skip,35.84874551971327,1810.184013476175
128,394.0,108.8,Hold,34.28745519713262,1815.254290756204
129,401.0,113.53333333333333,No action,31.519713261648747,1708.2124541489163
130,412.0,121.46666666666667,Hold,33.55923589204346,1693.8061060678258
131,416.0,124.3,No action,34.08655520724486,1695.376377946564
132,421.0,127.96666666666667,No action,36.71980676328503,1700.183386040438
133,422.0,128.73333333333332,Hold,36.172222222222224,1701.1928732906047
134,426.0,131.8,No action,35.3735883424408,1698.624442561359
135,427.0,132.56666666666666,Hold,34.905940594059416,1696.4919796956988
136,429.0,134.1,No action,34.88907345884091,1690.9140856373747
137,431.0,135.63333333333333,No action,35.080000000000005,1704.5159446894215
138,436.0,139.46666666666667,No action,35.080000000000005,1686.7951640143972
139,437.0,140.23333333333332,No action,35.080000000000005,1683.4483682673967
140,439.0,141.76666666666668,Hold,35.080000000000005,1675.8630086259907
141,441.0,143.3,Hold,35.080000000000005,1667.7665806700354
142,443.0,144.9,No action,35.080000000000005,1663.282006603758
143,450.0,137.73333333333332,Skip,37.48506375227686,1737.6053768604324
144,463.0,133.06666666666666,No action,34.76282761166483,1701.3862874118904
145,464.0,133.83333333333334,Skip,34.76282761166483,1698.2567792744806
146,466.0,135.36666666666667,No action,34.85384041759879,1688.932580665626
147,477.0,143.3,Hold,37.846666666666664,1655.0197130866957
148,480.0,145.8,Hold,36.70274914089347,1418.3131866136698
149,482.0,147.46666666666667,No action,35.73848238482385,1422.932913951502
150,484.0,148.8,No action,35.09013209013209,1425.3096815979343
151,487.0,151.3,No action,33.922939068100355,1424.5201596034572
152,491.0,154.36666666666667,No action,34.24649017248294,1414.328202834536
153,494.0,156.76666666666668,Hold,34.08073541167065,1422.7820440855382
154,498.0,160.0,Hold,33.86559139784946,1417.5734676832853
155,501.0,162.5,Skip,33.86559139784946,1416.3402428669408
156,504.0,165.0,No action,34.28981147212194,1420.838298055077
157,506.0,166.66666666666666,Hold,34.28981147212194,1423.3189763124985
158,511.0,170.83333333333334,Skip,34.28981147212194,1414.0410431612106
159,513.0,172.5,Skip,34.28981147212194,1410.1198569715875
160,514.0,173.33333333333334,Skip,34.28981147212194,1408.4102228376094
161,517.0,175.73333333333332,No action,35.52482269503547,1148.1812600200587
162,520.0,178.2,No action,37.166666666666664,1134.5025468808183
163,521.0,179.0,No action,38.61983314372393,1129.752553470826
164,525.0,171.13333333333333,No action,39.719931271477655,1135.6335559489485
165,527.0,167.6,Hold,38.658343012001545,1144.3329669134891
166,529.0,162.53333333333333,No action,38.18730158730158,1155.472188613575
167,535.0,162.6,No action,35.49170812603649,1175.8119239826863
168,539.0,166.0,Hold,34.47400419287213,1187.7711600704479
