,time,meanWaitTime,action,dispersion,headwaySD
0,4.0,0.0,[1.],0,0
1,17.0,12.033333333333333,[0.8011302],0,334.8352449193493
2,18.0,13.033333333333333,[1.],0,338.99468328974154
3,36.0,16.633333333333333,[1.],1.1693766937669379,352.854836189293
4,38.0,17.766666666666666,[1.],1.1693766937669379,348.3347623686618
5,60.0,30.666666666666668,[1.],0.02777777777777778,278.7296269480044
6,63.0,32.96666666666667,[0.],0.06565656565656562,283.2561241367137
7,64.0,33.766666666666666,[1.],0.14021164021164023,286.3192049501342
8,65.0,34.56666666666667,[0.2453601],0.252763234438627,290.8238198176894
9,70.0,31.066666666666666,[1.],1.4871111111111106,317.3724374074738
10,75.0,30.533333333333335,[1.],0.7700037921880925,360.64650209446654
11,79.0,21.533333333333335,[1.],0.8810035842293906,376.05924002900116
12,89.0,21.733333333333334,[1.],0.5944103612815269,320.3590765829567
13,92.0,23.4,[1.],0.5944103612815269,298.3678301080659
14,100.0,22.333333333333332,[1.],0.24137931034482757,229.37739669283087
15,102.0,23.466666666666665,[1.],0.21213576689081007,216.83915462906361
16,109.0,22.4,[1.],0.21014492753623187,206.72451769500714
17,113.0,20.0,[1.],0.4174884944115712,234.37330598831346
18,119.0,20.933333333333334,[0.49536008],0.39892904953145925,257.36892833542845
19,121.0,22.033333333333335,[0.37244946],0.39789789789789787,249.87161023527298
20,124.0,13.466666666666667,[1.],0.4121212121212121,249.70595139005442
21,125.0,12.7,[1.],0.4938271604938272,248.9871739213779
22,137.0,14.133333333333333,[1.],0.45972222222222203,221.147399297001
23,143.0,13.433333333333334,[1.],1.0200945626477542,257.73441692996556
24,146.0,14.733333333333333,[1.],0.647222222222222,246.48286288590563
25,148.0,14.433333333333334,[1.],0.6758969000348313,225.12152815733106
26,154.0,16.266666666666666,[0.],0.6973730919417821,215.34699413711988
27,155.0,16.7,[1.],0.6973730919417821,218.57827351502542
28,161.0,14.9,[0.8155055],0.6822642832106556,264.1217538912523
29,163.0,15.8,[0.8498663],0.6981132075471698,265.15740116609817
30,166.0,14.766666666666667,[1.],1.0040823571175006,260.96256910219995
31,172.0,15.766666666666667,[1.],0.9934640522875817,235.96927179529297
32,180.0,15.766666666666667,[1.],1.175038051750381,761.6854975228357
33,181.0,16.166666666666668,[0.5216226],1.1249525976488435,760.1243044040359
34,186.0,15.0,[0.65769655],1.2986111111111112,740.28408928429
