,rate
0,28.0
0,21.0
0,21.0
0,35.0
0,7.0
0,3.5
0,7.0
0,35.0
0,14.0
0,7.0
0,7.0
0,7.0
0,3.5
0,3.5
0,3.5
0,10.5
0,7.0
0,7.0
0,10.5
0,21.0
0,17.5
0,17.5
0,7.0
0,21.0
0,10.5
0,3.5
0,10.5
0,17.5
0,3.5
0,28.0
0,10.5
0,31.5
0,28.0
0,11
0,12
0,24.5
0,14.0
0,7.0
0,14.0
0,7.0
0,14.0
0,3.5
0,3.5
0,3.5
0,7.0
0,10.5
0,3.5
0,3.5
0,3.5
0,10.5
0,3.5
0,7.0
0,28.0
0,21.0
0,21.0
0,35.0
0,7.0
0,3.5
0,7.0
0,35.0
0,14.0
0,7.0
0,7.0
0,7.0
0,3.5
0,3.5
0,3.5
0,10.5
0,7.0
0,7.0
0,10.5
0,21.0
0,17.5
0,17.5
0,7.0
0,21.0
0,10.5
0,3.5
0,10.5
0,17.5
0,3.5
0,28.0
0,10.5
0,31.5
0,28.0
0,11
0,12
0,24.5
0,14.0
0,7.0
0,14.0
0,7.0
0,14.0
0,3.5
0,3.5
0,3.5
0,7.0
0,10.5
0,3.5
0,3.5
0,3.5
0,10.5
0,3.5
0,7.0
0,35.0
0,24.5
0,24.5
0,12
0,21.0
0,7.0
0,21.0
0,14
0,3.5
0,14.0
0,17.5
0,10.5
0,3.5
0,21.0
0,14.0
0,3.5
0,3.5
0,3.5
0,10.5
0,3.5
0,11
0,13
0,7.0
0,21.0
0,24.5
0,17.5
0,3.5
0,13
0,11
0,3.5
0,31.5
0,13
0,13
0,21
0,13
0,7.0
0,21.0
0,3.5
0,10.5
0,14.0
0,3.5
0,10.5
0,17.5
0,3.5
0,31.5
0,17.5
0,7.0
0,3.5
0,17.5
0,3.5
0,17.5
0,3.5
0,3.5
0,3.5
0,3.5
0,3.5
0,14
0,31.5
0,24.5
0,12
0,10.5
0,14.0
0,14.0
0,14
0,17.5
0,3.5
0,3.5
0,24.5
0,3.5
0,14.0
0,10.5
0,3.5
0,3.5
0,7.0
0,7.0
0,7.0
0,14.0
0,11
0,28.0
0,28.0
0,17.5
0,18
0,3.5
0,21.0
0,17.5
0,13
0,16
0,31.5
0,24.5
0,24.5
0,19
0,28
0,35
0,31
0,21
0,12
0,14.0
0,11
0,7.0
0,3.5
0,7.0
0,17.5
0,10.5
0,7.0
0,21.0
0,17.5
0,3.5
0,3.5
0,3.5
0,3.5
0,17.5
0,14.0
0,21.0
0,10.5
0,17.5
0,17.5
0,7.0
0,7.0
0,3.5
0,10.5
0,14.0
0,3.5
0,10.5
0,7.0
0,21
0,21.0
0,12
0,12
0,10.5
0,7.0
0,14.0
0,17
0,14
0,10.5
0,17.5
0,7.0
0,7.0
0,7.0
0,10.5
0,10.5
0,15
0,15
0,35.0
0,31.5
0,15
0,31.5
0,18
0,14.0
0,13
0,16
0,31.5
0,14
0,11
0,21
0,14
0,59
0,41
0,23
0,14.0
0,11
0,11
0,3.5
0,7.0
0,21.0
0,17.5
0,10.5
0,31.5
0,14.0
0,17.5
0,24.5
0,3.5
0,10.5
0,3.5
0,3.5
0,3.5
0,3.5
0,14.0
0,7.0
0,10.5
0,3.5
0,3.5
0,7.0
0,3.5
0,22
0,21.0
0,17.5
0,20
0,14.0
0,14.0
0,21.0
0,13
0,13
0,7.0
0,3.5
0,10.5
0,3.5
0,3.5
0,17
0,21
0,11
0,14
0,16
0,3.5
0,28.0
0,14.0
0,35.0
0,14.0
0,19
0,14.0
0,3.5
0,16
0,14
0,51
0,49
0,19
0,20
0,16
0,17.5
0,3.5
0,3.5
0,21.0
0,17.5
0,21.0
0,10.5
0,11
0,3.5
0,14.0
0,7.0
0,3.5
0,3.5
0,3.5
0,3.5
0,7.0
0,3.5
0,14.0
0,3.5
0,10.5
0,3.5
0,15
0,7.0
0,3.5
0,7.0
0,7.0
0,3.5
0,10.5
0,3.5
0,7.0
0,3.5
0,3.5
0,20
0,21.0
0,31.5
0,17
0,7.0
0,14.0
0,7.0
0,14
0,31.5
0,31.5
0,3.5
0,24.5
0,17.5
0,17.5
0,14.0
0,10.5
0,7.0
0,10.5
0,24.5
0,17.5
0,35.0
0,18
0,19
0,15
0,27
0,16
0,3.5
0,28.0
0,14.0
0,13
0,17
0,12
0,31.5
0,21.0
0,24.5
0,35.0
0,29
0,22
0,26
0,11
0,14.0
0,17.5
0,21.0
0,21.0
0,14.0
0,7.0
0,7.0
0,21.0
0,17.5
