,rate
0,12.0
0,14
0,19
0,19
0,4.5
0,4.5
0,9.0
0,7.5
0,14
0,20
0,4.5
0,16
0,21
0,31
0,24
0,17
0,15
0,6.0
0,15.0
0,3.0
0,9.0
0,4.5
0,7.5
0,14
0,3.0
0,12
0,6.0
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,13.5
0,12.0
0,4.5
0,4.5
0,4.5
0,1.5
0,27
0,1.5
0,4.5
0,3.0
0,52
0,9.0
0,7.5
0,3.0
0,3.0
0,1.5
0,3.0
0,12
0,12
0,9.0
0,46
0,3.0
0,4.5
0,3.0
0,1.5
0,1.5
0,3.0
0,3.0
0,3.0
0,1.5
0,7.5
0,3.0
0,1.5
0,10.5
0,9.0
0,13.5
0,12.0
0,18
0,9.0
0,9.0
0,13.5
0,9.0
0,3.0
0,12.0
0,15.0
0,12.0
0,3.0
0,12.0
0,12
0,27
0,19
0,18
0,13.5
0,6.0
0,12.0
0,1.5
0,4.5
0,4.5
0,22
0,1.5
0,3.0
0,6.0
0,1.5
0,3.0
0,3.0
0,7.5
0,3.0
0,1.5
0,12.0
0,6.0
0,9.0
0,15.0
0,20
0,10.5
0,4.5
0,4.5
0,29
0,4.5
0,4.5
0,4.5
0,3.0
0,1.5
0,1.5
0,1.5
0,61
0,9.0
0,15
0,11
0,6.0
0,1.5
0,4.5
0,7.5
0,12.0
0,7.5
0,27
0,1.5
0,4.5
0,1.5
0,6.0
0,4.5
0,1.5
0,1.5
0,4.5
0,9.0
0,9.0
0,4.5
0,7.5
0,13
0,15.0
0,15.0
0,16
0,7.5
0,15
0,13.5
0,3.0
0,16
0,12
0,13
0,3.0
0,4.5
0,11
0,13
0,16
0,13
0,13.5
0,1.5
0,10.5
0,1.5
0,1.5
0,1.5
0,6.0
0,12
0,1.5
0,1.5
0,1.5
0,3.0
0,3.0
0,1.5
0,3.0
0,15.0
0,13.5
0,3.0
0,3.0
0,24
0,6.0
0,1.5
0,3.0
0,60
0,1.5
0,1.5
0,3.0
0,10.5
0,3.0
0,15.0
0,7.5
0,19
0,3.0
0,4.5
0,1.5
0,1.5
0,1.5
0,1.5
0,6.0
0,9.0
0,3.0
0,1.5
0,1.5
0,7.5
0,1.5
0,7.5
0,6.0
0,7.5
0,16
0,22
0,14
0,7.5
0,12.0
0,3.0
0,4.5
0,11
0,14
0,1.5
0,3.0
0,13.5
0,13.5
0,21
0,27
0,15
0,13.5
0,9.0
0,4.5
0,1.5
0,1.5
0,1.5
0,15
0,1.5
0,1.5
0,1.5
0,3.0
0,6.0
0,1.5
0,7.5
0,1.5
0,12
0,14
0,7.5
0,4.5
0,13
0,1.5
0,49
0,9.0
0,7.5
0,13.5
0,4.5
0,11
0,6.0
0,12.0
0,9.0
0,10.5
0,31
0,1.5
0,3.0
0,11
0,1.5
0,4.5
0,6.0
0,1.5
0,6.0
0,15.0
0,16
0,22
0,19
0,14
0,15
0,7.5
0,9.0
0,4.5
0,11
0,6.0
0,12
0,13
0,18
0,23
0,14
0,3.0
0,9.0
0,3.0
0,1.5
0,13.5
0,3.0
0,14
0,1.5
0,9.0
0,1.5
0,3.0
0,6.0
0,1.5
0,4.5
0,9.0
0,1.5
0,9.0
0,12
0,13
0,1.5
0,4.5
0,4.5
0,17
0,31
0,6.0
0,3.0
0,7.5
0,4.5
0,1.5
0,12.0
0,12.0
0,9.0
0,29
0,12.0
0,3.0
0,3.0
0,3.0
0,1.5
0,9.0
0,3.0
0,6.0
0,1.5
0,4.5
0,9.0
0,10.5
0,13
0,3.0
0,6.0
0,9.0
0,1.5
0,1.5
0,9.0
0,12.0
0,16
0,4.5
0,7.5
0,3.0
0,1.5
0,13
0,12
0,4.5
0,7.5
0,1.5
0,1.5
0,7.5
0,24
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,6.0
0,3.0
0,15.0
0,6.0
0,7.5
0,3.0
0,9.0
0,12
0,3.0
0,1.5
0,1.5
0,1.5
0,1.5
0,40
0,7.5
0,1.5
0,9.0
0,6.0
0,1.5
0,1.5
0,9.0
0,9.0
0,23
0,6.0
0,7.5
0,1.5
0,3.0
0,9.0
0,1.5
0,3.0
0,1.5
0,3.0
0,4.5
0,4.5
0,6.0
0,13.5
0,12.0
0,15.0
0,15.0
0,13.5
0,4.5
0,7.5
0,1.5
0,14
0,3.0
0,7.5
0,7.5
0,9.0
0,1.5
0,11
0,1.5
0,4.5
0,1.5
0,1.5
0,4.5
0,23
0,1.5
0,1.5
0,3.0
0,1.5
0,3.0
0,3.0
0,7.5
0,7.5
0,1.5
0,1.5
0,4.5
0,3.0
0,12.0
0,3.0
0,3.0
