,time,meanWaitTime
0,257.0,164.95833333333334
0,284.0,169.74074074074073
0,312.0,188.62962962962962
0,647.0,416.84615384615387
0,664.0,442.94736842105266
0,732.0,509.5405405405405
0,759.0,529.1621621621622
0,820.0,575.2368421052631
0,838.0,591.7567567567568
0,866.0,596.8918918918919
0,888.0,618.9722222222222
0,894.0,619.9722222222222
0,919.0,606.3513513513514
0,975.0,660.2972972972973
0,1097.0,708.3589743589744
0,1183.0,741.439024390244
0,1201.0,744.219512195122
0,1226.0,748.3658536585366
0,1255.0,788.075
0,1262.0,793.2820512820513
0,1264.0,795.2820512820513
0,1275.0,833.972972972973
0,1289.0,847.972972972973
0,1333.0,881.6666666666666
0,1367.0,876.6216216216217
0,1404.0,847.45
0,1436.0,853.8
0,1437.0,854.8
0,1448.0,863.9736842105264
0,1463.0,900.3513513513514
0,1489.0,892.6578947368421
0,1494.0,887.9473684210526
0,1510.0,891.9459459459459
0,1520.0,923.8333333333334
0,1585.0,988.2777777777778
0,1592.0,1008.6571428571428
0,1649.0,1036.7222222222222
0,1690.0,1019.2972972972973
0,1711.0,971.3684210526316
0,1769.0,1019.2894736842105
0,1790.0,1040.2894736842106
0,1794.0,1044.2894736842106
0,1799.0,1049.2894736842106
0,1801.0,1024.3589743589744
0,1817.0,1040.0526315789473
0,1827.0,979.175
0,1860.0,1006.4871794871794
0,1864.0,1010.4871794871794
0,1872.0,1018.7894736842105
0,1878.0,1046.5945945945946
0,1904.0,1044.421052631579
0,1934.0,1096.945945945946
0,1950.0,1054.5945945945946
0,1957.0,1061.5945945945946
0,1969.0,1073.5945945945946
0,2010.0,1058.5128205128206
0,2025.0,1052.5526315789473
0,2037.0,1064.5526315789473
0,2049.0,1085.6756756756756
0,2062.0,1082.7297297297298
0,2090.0,1039.4615384615386
0,2110.0,1049.820512820513
0,2123.0,1062.820512820513
0,2130.0,1066.6153846153845
0,2158.0,1018.625
0,2185.0,1020.7317073170732
0,2190.0,1015.9512195121952
0,2197.0,1017.609756097561
0,2242.0,1104.1538461538462
0,2248.0,1110.1538461538462
0,2253.0,1060.9024390243903
0,2297.0,1064.7073170731708
0,2311.0,1093.55
0,2350.0,1154.1538461538462
0,2368.0,1165.2564102564102
0,2393.0,1161.075
0,2398.0,1166.075
0,2401.0,1169.075
0,2403.0,1183.6410256410256
0,2423.0,1175.7105263157894
0,2437.0,1206.4054054054054
0,2449.0,1237.0555555555557
0,2464.0,1109.5641025641025
0,2483.0,1121.6666666666667
0,2499.0,1137.6666666666667
0,2502.0,1112.2
0,2533.0,1159.2564102564102
0,2539.0,1154.076923076923
0,2542.0,1157.076923076923
0,2574.0,1146.5897435897436
0,2602.0,1117.4146341463415
0,2617.0,1099.7619047619048
0,2629.0,1111.7619047619048
0,2631.0,1113.7619047619048
0,2643.0,1102.475
0,2658.0,1117.475
0,2659.0,1118.475
0,2663.0,1122.475
0,2669.0,1157.7631578947369
0,2692.0,1122.1
0,2700.0,1148.3589743589744
0,2701.0,1149.3589743589744
0,2708.0,1213.2972972972973
0,2720.0,1186.111111111111
0,2752.0,1204.3333333333333
0,2774.0,1162.078947368421
0,2796.0,1225.5
0,2798.0,1227.5
0,2839.0,1166.1891891891892
0,2848.0,1175.1891891891892
0,2854.0,1201.4166666666667
0,2896.0,1150.7368421052631
0,2907.0,1182.1351351351352
0,2912.0,1156.0263157894738
0,2926.0,1093.6315789473683
0,2968.0,1103.128205128205
0,2993.0,1128.128205128205
0,2994.0,1129.128205128205
0,3001.0,1173.3513513513512
0,3002.0,1162.4324324324325
0,3022.0,1211.7777777777778
0,3025.0,1214.7777777777778
0,3026.0,1215.7777777777778
0,3031.0,1243.1764705882354
0,3033.0,1222.5882352941176
0,3056.0,1228.5454545454545
0,3064.0,1236.5454545454545
0,3088.0,1244.030303030303
0,3090.0,1246.030303030303
0,3092.0,1248.030303030303
0,3113.0,1299.625
0,3127.0,1202.4117647058824
0,3135.0,1238.5757575757575
0,3137.0,1240.5757575757575
0,3148.0,1299.516129032258
0,3164.0,1274.84375
0,3182.0,1166.5151515151515
0,3203.0,1187.5151515151515
0,3208.0,1192.5151515151515
0,3209.0,1193.5151515151515
0,3212.0,1219.28125
0,3220.0,1157.483870967742
0,3225.0,1162.483870967742
0,3250.0,1074.1764705882354
0,3252.0,1076.1764705882354
0,3254.0,1078.1764705882354
0,3261.0,1070.8235294117646
0,3268.0,1060.8823529411766
0,3278.0,1070.8823529411766
0,3286.0,1041.5294117647059
0,3290.0,1045.5294117647059
0,3291.0,1046.5294117647059
0,3293.0,1010.2352941176471
0,3297.0,962.5142857142857
0,3303.0,1039.21875
0,3321.0,902.3142857142857
0,3328.0,929.8823529411765
0,3337.0,938.8823529411765
