,means
0,215.6232878523146
1,212.81206391082137
2,211.519638285545
3,211.09693893783736
4,214.0046232193733
5,212.29657604928084
6,217.41404965845078
7,214.32072275081322
8,213.878520496564
9,212.36156710469803
10,213.5327988265699
