,means
0,216.16367904684154
1,213.59851079015107
2,210.8219476784991
3,211.5299757706165
4,214.32099140163328
5,211.64086945358318
6,217.8656282964623
7,215.1783054739523
8,214.22654542680567
9,212.26011655165257
10,213.76065698901976
