Boarding Stop,Alighting Stop,Total
54009,,16
54009,54009,1
54009,54101,5
54009,54319,46
54009,54329,64
54009,54339,1
54009,62019,1
54009,62029,2
54009,62039,5
54009,62049,5
54009,62059,8
54009,62141,2
54009,66031,12
54009,66041,23
54009,66051,21
54009,66091,6
54009,66359,71
54009,66379,34
54009,70269,3
54009,70279,1
54009,70299,2
54009,70309,2
54009,71091,3
54009,71131,6
54009,71141,4
54009,71161,11
54009,72021,4
54009,72061,25
54009,72071,17
54009,75009,69
54009,75341,17
54009,76129,9
54009,76289,19
54009,84461,4
54009,84471,11
54009,84489,9
54009,84499,15
54009,84621,1
54101,62039,1
54101,66051,3
54101,66359,4
54101,66379,1
54101,70299,1
54101,71131,1
54101,75341,1
54101,84499,3
54319,,2
54319,54101,2
54319,62039,2
54319,62049,4
54319,62059,3
54319,62141,1
54319,66031,10
54319,66041,5
54319,66051,14
54319,66091,7
54319,66359,64
54319,66379,10
54319,70269,1
54319,70289,1
54319,70299,2
54319,70309,2
54319,71091,1
54319,71131,1
54319,71151,1
54319,71161,1
54319,75009,22
54319,75341,1
54319,76129,2
54319,76289,8
54319,84471,2
54319,84499,1
54329,,1
54329,62049,3
54329,62059,3
54329,62141,2
54329,66031,1
54329,66041,4
54329,66051,7
54329,66359,36
54329,66379,13
54329,70279,3
54329,70289,1
54329,70299,3
54329,71131,1
54329,71161,2
54329,72061,4
54329,72071,2
54329,75009,11
54329,75341,1
54329,76119,1
54329,76289,7
54329,84471,1
54329,84499,2
54339,,2
54339,54101,2
54339,54319,6
54339,54329,1
54339,62019,1
54339,62039,2
54339,62049,4
54339,62059,6
54339,62141,3
54339,66031,2
54339,66041,1
54339,66051,4
54339,66091,3
54339,66359,14
54339,66379,4
54339,70279,2
54339,70299,1
54339,70309,1
54339,71091,1
54339,71131,2
54339,71141,1
54339,71161,1
54339,72061,1
54339,72071,1
54339,75009,5
54339,76119,1
54339,76129,2
54339,76289,3
54339,84471,3
62019,,1
62019,71091,1
62019,72061,1
62019,72071,3
62019,75009,4
62019,76129,1
62019,84489,1
62019,84499,1
62029,,1
62029,70299,2
62029,71131,1
62029,72071,2
62029,75009,2
62029,84489,1
62029,84499,1
62029,84631,1
62039,,5
62039,70289,2
62039,70299,1
62039,71091,2
62039,72021,1
62039,72061,2
62039,72071,1
62039,75009,11
62039,76119,1
62039,76129,1
62039,76289,3
62039,84471,1
62039,84489,2
62039,84621,1
62049,,2
62049,70299,1
62049,71131,3
62049,71151,2
62049,72061,1
62049,72071,1
62049,75009,6
62049,75341,4
62049,84471,4
62049,84499,3
62049,84631,1
62059,,2
62059,62039,2
62059,70269,3
62059,70279,3
62059,70289,1
62059,70299,3
62059,71131,9
62059,71141,2
62059,71161,1
62059,72021,1
62059,72061,5
62059,72071,1
62059,75009,11
62059,75061,1
62059,75341,2
62059,76119,1
62059,76129,2
62059,76289,3
62059,84461,1
62059,84471,7
62059,84499,9
62059,84631,1
62141,62039,1
62141,62059,1
62141,70279,3
62141,70289,1
62141,70299,1
62141,71091,1
62141,71131,1
62141,72061,1
62141,75009,5
62141,75341,1
62141,76129,1
62141,76289,1
62141,84489,1
62141,84499,1
66031,,5
66031,62049,2
66031,62059,1
66031,62141,3
66031,66359,12
66031,66379,4
66031,70279,2
66031,71131,1
66031,71141,3
66031,72061,1
66031,75341,5
66031,76119,1
66031,76289,1
66031,84471,1
66031,84499,3
66041,62029,1
66041,62049,1
66041,62059,1
66041,62141,4
66041,66359,56
66041,66379,5
66041,70299,2
66041,71131,1
66041,71161,1
66041,72021,2
66041,72061,1
66041,72071,2
66041,75009,6
66041,75341,2
66041,76289,1
66041,84499,1
66051,,4
66051,62039,1
66051,62049,2
66051,62059,2
66051,62141,4
66051,66359,133
66051,66379,4
66051,70279,2
66051,70299,1
66051,70309,1
66051,71091,1
66051,71131,2
66051,71141,2
66051,71161,1
66051,72021,1
66051,72061,2
66051,72071,1
66051,75009,7
66051,75341,1
66051,76119,1
66051,76129,4
66051,76289,3
66051,84471,4
66051,84489,1
66051,84499,2
66051,84601,1
66091,,1
66091,62039,2
66091,62141,3
66091,66359,31
66091,66379,3
66091,70309,1
66091,75009,1
66091,75341,1
66359,,15
66359,62019,4
66359,62029,7
66359,62039,18
66359,62049,24
66359,62059,36
66359,62141,3
66359,70289,1
66359,70299,3
66359,70309,8
66359,71091,11
66359,71131,13
66359,71151,3
66359,71161,6
66359,72021,9
66359,72061,26
66359,72071,9
66359,75009,19
66359,76129,10
66359,76289,5
66359,84461,6
66359,84471,7
66359,84499,19
66359,84621,9
66379,,6
66379,62029,1
66379,62039,13
66379,62049,5
66379,62059,6
66379,66359,3
66379,70279,3
66379,70289,2
66379,70299,2
66379,70309,8
66379,71091,3
66379,71131,3
66379,71161,3
66379,72021,6
66379,72061,3
66379,72071,3
66379,75009,11
66379,75341,1
66379,76119,1
66379,76129,4
66379,76289,5
66379,84461,2
66379,84471,2
66379,84489,2
66379,84499,7
66379,84621,2
70269,,2
70269,71091,1
70269,71151,1
70269,72021,1
70269,75009,4
70269,75341,2
70269,76119,1
70269,76129,4
70269,76289,4
70269,84471,1
70269,84489,2
70279,,1
70279,71161,2
70279,72071,1
70279,75009,7
70279,76119,1
70279,76289,2
70279,84471,4
70289,71131,1
70289,71161,1
70289,72061,4
70289,84471,3
70289,84499,1
70299,,3
70299,70269,1
70299,70279,1
70299,71091,2
70299,71131,8
70299,71141,1
70299,71151,1
70299,71161,3
70299,72021,1
70299,72061,4
70299,72071,3
70299,75009,5
70299,75341,1
70299,76119,1
70299,76129,8
70299,76289,1
70299,84461,1
70299,84471,8
70299,84489,1
70299,84601,2
70299,84621,1
70299,84631,1
70309,,1
70309,71131,2
70309,71151,2
70309,72061,1
70309,75009,3
70309,75341,1
70309,76289,2
70309,84471,1
70309,84621,1
71091,,6
71091,72061,1
71091,72071,8
71091,75009,24
71091,75341,1
71091,76119,1
71091,76129,3
71091,76289,3
71091,84471,2
71091,84489,1
71091,84499,1
71091,84621,1
71131,,1
71131,71091,3
71131,72071,2
71131,75009,6
71131,75341,2
71131,76119,1
71131,76129,4
71131,76289,7
71131,84471,2
