Boarding Stop,Alighting Stop,Total
66489,64119,2
66489,66359,224
66489,66379,23
66489,70259,8
66489,70269,1
66489,70279,2
66489,70289,1
66489,70299,1
66489,70309,4
66489,81101,7
66489,81111,20
66489,82079,3
66489,82099,4
66489,82119,14
66489,92041,18
66489,92051,1
66489,92061,1
66489,92071,3
66489,92169,1
66489,92249,2
66489,93021,1
66489,93031,1
66489,94051,1
66499,,5
66499,62019,6
66499,62029,1
66499,62039,2
66499,62059,2
66499,62141,1
66499,63189,2
66499,63219,13
66499,63369,4
66499,64109,6
66499,64119,12
66499,66359,62
66499,66379,5
66499,66489,1
66499,70259,5
66499,70269,1
66499,70279,2
66499,70289,1
66499,70299,3
66499,81101,5
66499,81111,17
66499,82099,1
66499,82119,10
66499,92041,12
66499,92061,2
66499,92071,2
66499,92249,1
66499,93031,1
66499,94009,1
66499,94011,1
67411,,1
67411,63179,1
67411,63219,2
67411,63369,1
67411,64109,1
67411,64621,1
67411,66359,2
67411,66379,2
67411,66489,2
67411,67441,1
67411,67601,6
67411,67629,2
67411,70259,1
67411,70269,1
67411,81111,5
67411,82099,1
67411,82119,6
67411,92041,5
67411,92051,1
67411,92061,1
67411,92071,2
67411,92169,2
67411,92249,2
67441,62039,1
67441,62049,2
67441,62059,2
67441,63179,3
67441,63199,1
67441,63209,1
67441,63219,4
67441,63369,3
67441,64109,4
67441,64119,1
67441,64461,3
67441,64621,2
67441,66359,3
67441,66489,9
67441,66499,5
67441,67601,8
67441,67629,2
67441,70259,2
67441,70269,5
67441,70279,7
67441,70299,1
67441,81111,7
67441,82079,3
67441,82099,1
67441,82119,5
67441,92041,13
67441,92051,3
67441,92169,6
67441,92249,4
67601,,9
67601,63179,5
67601,63199,1
67601,63209,1
67601,63219,21
67601,63369,3
67601,64109,7
67601,64119,16
67601,64461,13
67601,64621,17
67601,66359,2
67601,66379,2
67601,66489,29
67601,66499,21
67601,67601,1
67601,67629,11
67601,81101,2
67601,81111,1
67601,82089,1
67601,82099,2
67601,82119,2
67601,92041,12
67601,92061,1
67601,92071,2
67601,92081,2
67601,92249,8
67601,93041,1
67601,94009,1
67601,94041,1
67611,,2
67611,62019,4
67611,62049,3
67611,62059,4
67611,63189,1
67611,63199,3
67611,63209,1
67611,63219,6
67611,63369,3
67611,64109,2
67611,64119,3
67611,64461,7
67611,66359,9
67611,66379,7
67611,66489,3
67611,66499,9
67611,67601,32
67611,67611,2
67611,67629,1
67611,70259,1
67611,70269,2
67611,70309,1
67611,81111,3
67611,82079,1
67611,82119,8
67611,92041,18
67611,92051,1
67611,92071,2
67611,92169,1
67611,92249,4
67611,93011,4
67611,93041,1
67611,94011,1
67629,,5
67629,62019,1
67629,62141,2
67629,63219,4
67629,63369,1
67629,64109,7
67629,64119,3
67629,64621,2
67629,66359,11
67629,66379,4
67629,66489,2
67629,66499,2
67629,70269,1
67629,70289,1
67629,70299,1
67629,70309,1
67629,81101,2
67629,81111,3
67629,82099,1
67629,82119,7
67629,92041,13
67629,92061,1
67629,92071,2
67629,92081,1
67629,92169,2
67629,92249,3
67629,93031,1
70259,,2
70259,81111,10
70259,82089,1
70259,82099,1
70259,82119,2
70259,92041,3
70259,92051,1
70259,92061,3
70259,92071,1
70259,92249,1
70259,93021,1
70259,94031,1
70269,,3
70269,70259,2
70269,70269,1
70269,81101,3
70269,81111,12
70269,82099,1
70269,82119,2
70269,92041,9
70269,92169,3
70269,92249,5
70269,93021,1
70269,93031,1
70279,,1
70279,81101,1
70279,81111,7
70279,82089,1
70279,82099,1
70279,82119,2
70279,92041,9
70279,92051,1
70279,92169,1
70279,92249,2
70279,93031,4
70289,81111,3
70289,82079,1
70289,82089,1
70289,92041,2
70289,92169,2
70289,93021,1
70299,,3
70299,70279,1
70299,81111,8
70299,82079,2
70299,82099,1
70299,92041,5
70299,92061,2
70299,92071,2
70299,92081,1
70299,92169,4
70299,92249,7
70299,93021,1
70299,94031,1
70309,,1
70309,70279,1
70309,81111,3
70309,82089,1
70309,82099,1
70309,82119,2
70309,94011,1
81101,,3
81101,81111,7
81101,82079,1
81101,82119,1
81101,92041,2
