Boarding Stop,Alighting Stop,Hour,Total
410482491,4623289717,14,1
410482572,410464255,14,2
410482572,4623289717,14,1
410482572,410467571,14,1
410482520,410464255,14,5
410482520,-410478274,14,2
410482520,4623289717,14,5
410483103,410482572,14,1
410483103,410478275,14,1
410486516,1531005322,14,3
410486516,4623289717,14,3
410486966,1531005322,14,1
410486966,1268343846,14,1
1855320978,410486293,14,1
1855320978,1531005322,14,5
1855320978,410475114,14,1
1855320978,410471081,14,1
1855320978,410482570,14,1
1855320978,4623289717,14,1
410486969,1531005322,14,4
4430976208,410482520,14,1
4430976208,1531005322,14,9
4430976208,410475114,14,3
4430976208,410464255,14,1
4430976208,-1849457018,14,1
410486293,1531005322,14,2
410486293,410478275,14,1
410486955,410482572,14,2
410486955,1531005322,14,12
410486955,410475114,14,2
410486955,410464255,14,1
410486991,410482572,14,1
410486991,4430976208,14,1
410486991,410486955,14,1
410486991,1531005322,14,15
410486991,410475114,14,1
410486991,410482570,14,2
410486991,410464255,14,3
410462293,1531005322,14,8
410462293,410475114,14,2
410462293,410470959,14,3
410462293,410464255,14,1
410462293,410478275,14,2
1847853709,1849631331,14,1
1847853709,410474760,14,2
1849631331,410462291,14,1
1849631331,2429952037,14,2
1531005322,410482572,14,4
1531005322,410482520,14,1
1531005322,410483103,14,1
1531005322,4623289717,14,4
1531005322,410467564,14,2
1531005322,410467571,14,2
410475114,410482572,14,3
410475114,410464255,14,1
410475114,4623289717,14,1
410462291,410486293,14,1
410462291,1531005322,14,21
410462291,410475114,14,2
410462291,410482551,14,1
410462291,410482564,14,1
410462291,410464255,14,1
410462291,410478275,14,1
410462291,4623289717,14,3
410462211,4430976208,14,1
410462211,410486293,14,1
410462211,410486991,14,2
410462211,1531005322,14,10
410462211,410470959,14,1
410462211,410482570,14,2
410462211,410464255,14,1
410462211,4623289717,14,1
410462211,410467564,14,1
410462211,410481810,14,1
410474760,410486516,14,1
410474760,4430976208,14,1
410474760,410464255,14,4
410474348,410486293,14,1
410474348,410486955,14,1
410474348,2429952037,14,1
410474348,4623289717,14,2
2429952037,4430976208,14,6
2429952037,410486991,14,2
2429952037,410462293,14,1
2429952037,410462291,14,5
2429952037,410462211,14,1
2429952037,1849631273,14,4
2429952037,410459494,14,1
1849631269,410486966,14,1
1849631269,4430976208,14,1
1849631269,410486955,14,1
1849631269,410486991,14,1
1849631269,1531005322,14,1
1849631269,2429952037,14,7
1849631269,410478275,14,2
1849631273,410482570,14,1
1849631273,410478275,14,1
1849631273,410467566,14,1
410470959,410464255,14,1
410471030,410478275,14,1
410482570,4623289717,14,1
410471005,410464255,14,1
410464255,-1849457018,14,1
410464255,4623289717,14,4
410464255,410467553,14,1
410464255,410478271,14,2
410464255,410459494,14,1
-1849457018,4623289717,14,3
-410478273,4623289717,14,1
-410478273,410459494,14,1
-410478273,410467562,14,1
-410478274,4623289717,14,1
-410478274,1268343846,14,1
-410478274,410467574,14,1
410478275,4623289717,14,6
410478275,410459494,14,2
4623289717,410467566,14,3
4623289717,410467564,14,2
4623289717,1268343846,14,1
4623289717,410467562,14,4
4623289717,410467567,14,3
4623289717,410467571,14,1
4623289717,410461658,14,5
4623289717,410481810,14,2
4623289717,410481781,14,1
4623289717,410481783,14,4
4623289717,410482047,14,1
410467553,410481815,14,1
410467566,410481783,14,3
1268343846,410481810,14,1
1268343846,410481815,14,1
410459494,4623289717,14,1
