,time,meanWaitTime
0,601.0,353.65384615384613
0,615.0,361.61538461538464
0,640.0,395.2
0,733.0,437.25925925925924
0,814.0,492.5357142857143
0,837.0,511.25
0,852.0,522.6296296296297
0,889.0,578.6923076923077
0,985.0,637.6296296296297
0,1083.0,677.2857142857143
0,1188.0,769.0714285714286
0,1201.0,790.5555555555555
0,1221.0,821.6923076923077
0,1242.0,842.6923076923077
0,1257.0,849.96
0,1264.0,871.2083333333334
0,1276.0,883.2083333333334
0,1351.0,914.25
0,1392.0,918.08
0,1417.0,923.5416666666666
0,1420.0,926.5416666666666
0,1485.0,1016.8260869565217
0,1508.0,1039.6363636363637
0,1587.0,1140.3809523809523
0,1682.0,1212.3809523809523
0,1691.0,1159.6666666666667
0,1757.0,1316.7894736842106
0,1780.0,1213.095238095238
0,1813.0,1035.0
0,1856.0,965.76
0,1870.0,923.1923076923077
0,1926.0,881.3448275862069
0,1990.0,943.8275862068965
0,1996.0,976.1785714285714
0,2014.0,1024.148148148148
0,2020.0,1054.576923076923
0,2022.0,1017.4814814814815
0,2035.0,994.0357142857143
0,2080.0,994.5172413793103
0,2108.0,1022.5172413793103
0,2115.0,1018.1034482758621
0,2171.0,1074.103448275862
0,2173.0,1076.103448275862
0,2182.0,1110.3214285714287
0,2184.0,1112.3214285714287
0,2275.0,1078.3548387096773
0,2284.0,1074.032258064516
0,2322.0,1064.6875
0,2341.0,1071.78125
0,2345.0,1075.78125
0,2401.0,1092.3225806451612
0,2402.0,1111.8
0,2417.0,1109.2
0,2422.0,1138.9310344827586
0,2463.0,1155.551724137931
0,2471.0,1163.551724137931
0,2510.0,1231.2142857142858
0,2514.0,1235.2142857142858
0,2521.0,1198.3333333333333
0,2533.0,1167.4285714285713
0,2588.0,1246.7037037037037
0,2594.0,1279.5
0,2598.0,1283.5
0,2614.0,1248.68
0,2624.0,1297.7083333333333
0,2638.0,1296.9565217391305
0,2640.0,1298.9565217391305
0,2666.0,1357.4545454545455
0,2676.0,1260.1363636363637
0,2686.0,1308.142857142857
0,2709.0,1375.65
0,2713.0,1379.65
0,2730.0,1184.857142857143
0,2762.0,1161.7272727272727
0,2766.0,1145.5
0,2774.0,1153.5
0,2790.0,1158.0454545454545
0,2817.0,1062.625
0,2818.0,1063.625
0,2823.0,1073.0
0,2827.0,1041.0454545454545
0,2872.0,997.9166666666666
0,2902.0,1004.0
0,2929.0,1030.2916666666667
0,2984.0,894.6923076923077
0,2987.0,897.6923076923077
0,2998.0,932.12
0,3001.0,935.12
0,3023.0,961.2916666666666
0,3040.0,969.9583333333334
0,3056.0,985.9583333333334
0,3064.0,991.9583333333334
0,3072.0,915.0869565217391
0,3073.0,916.0869565217391
0,3086.0,911.6521739130435
0,3113.0,973.5909090909091
0,3159.0,866.7307692307693
0,3162.0,869.7307692307693
0,3176.0,812.3333333333334
0,3189.0,858.3913043478261
0,3194.0,863.3913043478261
0,3210.0,783.3636363636364
0,3228.0,825.2857142857143
0,3235.0,782.5454545454545
0,3238.0,785.5454545454545
0,3246.0,725.55
0,3249.0,693.9047619047619
0,3255.0,697.1904761904761
0,3279.0,733.8
0,3284.0,721.35
0,3293.0,695.8095238095239
0,3308.0,682.5714285714286
0,3334.0,716.1
0,3351.0,760.0526315789474
0,3382.0,802.8333333333334
0,3389.0,851.5294117647059
0,3394.0,836.4705882352941
0,3396.0,883.6875
0,3410.0,711.1875
0,3441.0,742.1875
0,3465.0,721.4705882352941
0,3475.0,751.25
0,3546.0,701.3333333333334
0,3549.0,704.3333333333334
0,3570.0,736.2352941176471
0,3578.0,703.0555555555555
0,3586.0,711.0555555555555
0,3601.0,688.578947368421
0,3615.0,674.1052631578947
0,3656.0,677.85
0,3664.0,694.6842105263158
0,3679.0,740.1111111111111
0,3715.0,745.1111111111111
0,3725.0,755.1111111111111
0,3732.0,716.7058823529412
0,3736.0,737.1875
0,3765.0,766.1875
0,3780.0,695.2222222222222
0,3786.0,709.8235294117648
0,3798.0,736.25
0,3801.0,739.25
0,3808.0,742.75
0,3811.0,745.75
0,3815.0,749.75
0,3837.0,764.6
0,3847.0,726.375
0,3856.0,735.375
0,3857.0,736.375
0,3886.0,693.6470588235294
0,3887.0,694.6470588235294
0,3916.0,672.3888888888889
0,3923.0,677.1111111111111
0,3946.0,700.1111111111111
0,3951.0,705.1111111111111
0,3979.0,646.1666666666666
0,3982.0,649.1666666666666
0,4002.0,615.5
0,4022.0,605.1111111111111
0,4030.0,580.9473684210526
0,4036.0,566.5263157894736
0,4043.0,573.5263157894736
0,4050.0,604.1666666666666
0,4063.0,617.1666666666666
0,4068.0,630.4705882352941
0,4103.0,597.0526315789474
0,4138.0,550.2272727272727
0,4163.0,598.5238095238095
0,4175.0,610.5238095238095
0,4185.0,620.5238095238095
0,4187.0,622.5238095238095
0,4189.0,624.5238095238095
0,4201.0,658.1578947368421
0,4202.0,679.7222222222222
0,4223.0,658.578947368421
0,4258.0,687.1052631578947
0,4269.0,650.45
0,4270.0,651.45
0,4272.0,653.45
0,4289.0,696.7777777777778
0,4298.0,686.8888888888889
0,4310.0,494.05882352941177
0,4327.0,511.05882352941177
0,4368.0,465.05263157894734
0,4385.0,467.8421052631579
0,4390.0,449.45
0,4403.0,471.05555555555554
0,4409.0,452.2631578947368
0,4421.0,441.42105263157896
0,4440.0,463.1111111111111
0,4446.0,469.1111111111111
0,4466.0,463.94736842105266
0,4478.0,475.94736842105266
0,4482.0,479.94736842105266
0,4486.0,498.44444444444446
0,4492.0,499.25
0,4505.0,503.1875
0,4519.0,487.05882352941177
0,4542.0,457.57894736842104
0,4553.0,468.57894736842104
0,4563.0,478.57894736842104
